games, numTurns, whoWon, yourStrat, CardsInDeck
866,19,player 1,opp Guess,0
867,14,player 2,opp Guess,10
868,6,player 1,opp Guess,26
869,19,player 2,opp Guess,0
870,8,player 2,opp Guess,22
871,12,player 1,opp Guess,14
872,13,player 2,opp Guess,12
873,18,player 2,opp Guess,2
874,7,player 2,opp Guess,24
875,17,player 2,opp Guess,4
876,16,player 1,opp Guess,6
877,4,player 2,opp Guess,30
878,19,player 1,opp Guess,0
879,19,player 1,opp Guess,0
880,19,player 2,opp Guess,0
881,19,player 1,opp Guess,0
882,15,player 2,opp Guess,8
883,19,player 1,opp Guess,0
884,19,player 1,opp Guess,0
885,15,player 1,opp Guess,8
886,19,player 1,opp Guess,0
887,8,player 1,opp Guess,22
888,19,player 2,opp Guess,0
889,13,player 2,opp Guess,12
890,5,player 2,opp Guess,28
891,18,player 2,opp Guess,2
892,19,player 2,opp Guess,0
893,6,player 1,opp Guess,26
894,12,player 1,opp Guess,14
895,9,player 2,opp Guess,20
896,19,player 2,opp Guess,0
897,19,player 2,opp Guess,0
898,15,player 2,opp Guess,8
899,7,player 2,opp Guess,24
900,3,player 2,opp Guess,32
901,7,player 2,opp Guess,24
902,19,player 2,opp Guess,0
903,9,player 2,opp Guess,20
904,19,player 2,opp Guess,0
905,15,player 2,opp Guess,8
906,4,player 2,opp Guess,30
907,14,player 2,opp Guess,10
908,11,player 1,opp Guess,16
909,7,player 2,opp Guess,24
910,13,player 1,opp Guess,12
911,19,player 2,opp Guess,0
912,6,player 2,opp Guess,26
913,19,player 2,opp Guess,0
914,19,player 2,opp Guess,0
915,15,player 2,opp Guess,8
916,19,player 2,opp Guess,0
917,19,player 1,opp Guess,0
918,16,player 2,opp Guess,6
919,9,player 2,opp Guess,20
920,5,player 1,opp Guess,28
921,19,player 2,opp Guess,0
922,7,player 1,opp Guess,24
923,19,player 2,opp Guess,0
924,3,player 2,opp Guess,32
925,7,player 1,opp Guess,24
926,4,player 2,opp Guess,30
927,19,player 1,opp Guess,0
928,19,player 2,opp Guess,0
929,7,player 1,opp Guess,24
930,8,player 1,opp Guess,22
931,6,player 1,opp Guess,26
932,19,player 2,opp Guess,0
933,10,player 2,opp Guess,18
934,18,player 2,opp Guess,2
935,7,player 2,opp Guess,24
936,3,player 2,opp Guess,32
937,17,player 2,opp Guess,4
938,10,player 2,opp Guess,18
939,19,player 2,opp Guess,0
940,9,player 1,opp Guess,20
941,11,player 1,opp Guess,16
942,11,player 2,opp Guess,16
943,11,player 2,opp Guess,16
944,9,player 2,opp Guess,20
945,8,player 2,opp Guess,22
946,8,player 2,opp Guess,22
947,13,player 2,opp Guess,12
948,18,player 2,opp Guess,2
949,13,player 2,opp Guess,12
950,9,player 2,opp Guess,20
951,19,player 2,opp Guess,0
952,19,player 1,opp Guess,0
953,19,player 2,opp Guess,0
954,13,player 2,opp Guess,12
955,19,player 2,opp Guess,0
956,16,player 2,opp Guess,6
957,8,player 2,opp Guess,22
958,4,player 2,opp Guess,30
959,7,player 2,opp Guess,24
960,5,player 2,opp Guess,28
961,4,player 2,opp Guess,30
962,19,player 2,opp Guess,0
963,19,player 2,opp Guess,0
964,19,player 1,opp Guess,0
965,19,player 1,opp Guess,0
966,11,player 2,opp Guess,16
967,6,player 2,opp Guess,26
968,19,player 2,opp Guess,0
969,6,player 2,opp Guess,26
970,19,player 2,opp Guess,0
971,19,player 2,opp Guess,0
972,10,player 2,opp Guess,18
973,19,player 2,opp Guess,0
974,9,player 1,opp Guess,20
975,6,player 2,opp Guess,26
976,10,player 2,opp Guess,18
977,7,player 2,opp Guess,24
978,9,player 2,opp Guess,20
979,6,player 2,opp Guess,26
980,19,player 2,opp Guess,0
981,8,player 1,opp Guess,22
982,19,player 2,opp Guess,0
983,19,player 1,opp Guess,0
984,10,player 2,opp Guess,18
985,19,player 2,opp Guess,0
986,16,player 2,opp Guess,6
987,19,player 2,opp Guess,0
988,5,player 2,opp Guess,28
989,3,player 2,opp Guess,32
990,3,player 2,opp Guess,32
991,12,player 2,opp Guess,14
992,12,player 2,opp Guess,14
993,13,player 2,opp Guess,12
994,9,player 1,opp Guess,20
995,10,player 2,opp Guess,18
996,4,player 2,opp Guess,30
997,4,player 2,opp Guess,30
998,4,player 2,opp Guess,30
999,8,player 2,opp Guess,22
1000,7,player 2,opp Guess,24
