games, numTurns, whoWon, yourStrat, CardsInDeck
199,8,player 2,opp Guess,22
200,12,player 2,opp Guess,14
201,9,player 1,opp Guess,20
202,19,player 1,opp Guess,0
203,10,player 2,opp Guess,18
204,19,player 2,opp Guess,0
205,6,player 2,opp Guess,26
206,19,player 2,opp Guess,0
207,19,player 2,opp Guess,0
208,6,player 1,opp Guess,26
209,19,player 1,opp Guess,0
210,6,player 2,opp Guess,26
211,9,player 2,opp Guess,20
212,7,player 2,opp Guess,24
213,7,player 2,opp Guess,24
214,19,player 2,opp Guess,0
215,19,player 1,opp Guess,0
216,19,player 1,opp Guess,0
217,19,player 2,opp Guess,0
218,19,player 2,opp Guess,0
219,12,player 2,opp Guess,14
220,7,player 1,opp Guess,24
221,6,player 1,opp Guess,26
222,19,player 1,opp Guess,0
223,13,player 2,opp Guess,12
224,12,player 2,opp Guess,14
225,10,player 2,opp Guess,18
226,19,player 2,opp Guess,0
227,19,player 2,opp Guess,0
228,19,player 2,opp Guess,0
229,5,player 1,opp Guess,28
230,8,player 2,opp Guess,22
231,16,player 2,opp Guess,6
232,10,player 2,opp Guess,18
233,7,player 2,opp Guess,24
234,19,player 2,opp Guess,0
235,17,player 2,opp Guess,4
236,19,player 2,opp Guess,0
237,19,player 2,opp Guess,0
238,19,player 2,opp Guess,0
239,11,player 2,opp Guess,16
240,19,player 2,opp Guess,0
241,19,player 2,opp Guess,0
242,13,player 2,opp Guess,12
243,7,player 2,opp Guess,24
244,11,player 1,opp Guess,16
245,7,player 2,opp Guess,24
246,4,player 2,opp Guess,30
247,8,player 2,opp Guess,22
248,19,player 1,opp Guess,0
249,13,player 1,opp Guess,12
250,5,player 1,opp Guess,28
251,19,player 2,opp Guess,0
252,19,player 2,opp Guess,0
253,17,player 2,opp Guess,4
254,11,player 2,opp Guess,16
255,8,player 2,opp Guess,22
256,9,player 2,opp Guess,20
257,5,player 2,opp Guess,28
258,19,player 1,opp Guess,0
259,19,player 1,opp Guess,0
260,19,player 1,opp Guess,0
261,19,player 1,opp Guess,0
262,19,player 1,opp Guess,0
263,19,player 2,opp Guess,0
264,19,player 1,opp Guess,0
265,6,player 1,opp Guess,26
266,18,player 1,opp Guess,2
